,gene_0,gene_1,gene_2,gene_3,gene_4,gene_5,gene_6,gene_7,gene_8,gene_9,gene_10,gene_11,gene_12,gene_13,gene_14,gene_15,euclidean distance,close/far,% optimal genes,quality,fitness
1,2.834075452686638,2.834075452686638,2.834075452686638,2.834075452686638,2.834075452686638,2.834075452686638,2.834075452686638,2.834075452686638,2.834075452686638,2.834075452686638,2.834075452686638,2.834075452686638,2.834075452686638,2.834075452686638,2.834075452686638,2.834075452686638,7.336301810746551,close,0.0,best,40577.83226863046
2,-1.833114037113332,-1.833114037113332,-1.833114037113332,-1.833114037113332,-1.833114037113332,-1.833114037113332,-1.833114037113332,-1.833114037113332,-1.833114037113332,-1.833114037113332,-1.833114037113332,-1.833114037113332,-1.833114037113332,-1.833114037113332,-1.833114037113332,-1.833114037113332,11.332456148453328,far,0.0,best,40577.83226863055
3,2.9242788188655533,2.9242788188655533,2.9242788188655533,2.9242788188655533,2.9242788188655533,2.9242788188655533,2.9242788188655533,2.9242788188655533,2.9242788188655533,2.9242788188655533,2.9242788188655533,2.9242788188655533,1.0,1.0,1.0,1.0,6.665897364407534,close,0.25,best,40577.832268630154
4,-1.999559293363292,-1.999559293363292,-1.999559293363292,-1.999559293363292,-1.999559293363292,-1.999559293363292,-1.999559293363292,-1.999559293363292,-1.999559293363292,-1.999559293363292,-1.999559293363292,-1.999559293363292,1.0,1.0,1.0,1.0,10.390778192841243,far,0.25,best,40577.8322686304
5,3.157654528172121,3.157654528172121,3.157654528172121,3.157654528172121,3.157654528172121,3.157654528172121,3.157654528172121,3.157654528172121,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.10276859331347,close,0.5,best,40577.83226863059
6,-2.2732194619777277,-2.2732194619777277,-2.2732194619777277,-2.2732194619777277,-2.2732194619777277,-2.2732194619777277,-2.2732194619777277,-2.2732194619777277,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.258062711504936,far,0.5,best,40577.83226863011
7,3.5993035333689365,3.5993035333689365,3.5993035333689365,3.5993035333689365,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.198607066737873,close,0.75,best,40577.83226863012
8,-2.8370392433214637,-2.8370392433214637,-2.8370392433214637,-2.8370392433214637,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.6740784866429275,far,0.75,best,40577.83226862995
9,3.7297049244284417,3.7297049244284417,3.7297049244284417,3.7297049244284417,3.7297049244284417,3.7297049244284417,3.7297049244284417,3.7297049244284417,3.7297049244284417,3.7297049244284417,3.7297049244284417,3.7297049244284417,3.7297049244284417,3.7297049244284417,3.7297049244284417,3.7297049244284417,10.918819697713767,close,0.0,lower quartile,155590.72448808278
10,-2.7292139778952507,-2.7292139778952507,-2.7292139778952507,-2.7292139778952507,-2.7292139778952507,-2.7292139778952507,-2.7292139778952507,-2.7292139778952507,-2.7292139778952507,-2.7292139778952507,-2.7292139778952507,-2.7292139778952507,-2.7292139778952507,-2.7292139778952507,-2.7292139778952507,-2.7292139778952507,14.916855911581,far,0.0,lower quartile,155590.7244880828
11,3.8713776953938828,3.8713776953938828,3.8713776953938828,3.8713776953938828,3.8713776953938828,3.8713776953938828,3.8713776953938828,3.8713776953938828,3.8713776953938828,3.8713776953938828,3.8713776953938828,3.8713776953938828,1.0,1.0,1.0,1.0,9.946744112284472,close,0.25,lower quartile,155590.72448808252
12,-2.9506007566811956,-2.9506007566811956,-2.9506007566811956,-2.9506007566811956,-2.9506007566811956,-2.9506007566811956,-2.9506007566811956,-2.9506007566811956,-2.9506007566811956,-2.9506007566811956,-2.9506007566811956,-2.9506007566811956,1.0,1.0,1.0,1.0,13.685282461983764,far,0.25,lower quartile,155590.72448808304
13,4.208202192369206,4.208202192369206,4.208202192369206,4.208202192369206,4.208202192369206,4.208202192369206,4.208202192369206,4.208202192369206,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.074166102567256,close,0.5,lower quartile,155590.72448808257
14,-3.328386381304514,-3.328386381304514,-3.328386381304514,-3.328386381304514,-3.328386381304514,-3.328386381304514,-3.328386381304514,-3.328386381304514,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.242525447263692,far,0.5,lower quartile,155590.72448808266
15,4.851461489101197,4.851461489101197,4.851461489101197,4.851461489101197,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.702922978202395,close,0.75,lower quartile,155590.72448808298
16,-4.0952016095681305,-4.0952016095681305,-4.0952016095681305,-4.0952016095681305,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.190403219136261,far,0.75,lower quartile,155590.72448808321
17,3.9364250222367207,3.9364250222367207,3.9364250222367207,3.9364250222367207,3.9364250222367207,3.9364250222367207,3.9364250222367207,3.9364250222367207,3.9364250222367207,3.9364250222367207,3.9364250222367207,3.9364250222367207,3.9364250222367207,3.9364250222367207,3.9364250222367207,3.9364250222367207,11.745700088946883,close,0.0,median,200545.64758050512
18,-2.93599259096402,-2.93599259096402,-2.93599259096402,-2.93599259096402,-2.93599259096402,-2.93599259096402,-2.93599259096402,-2.93599259096402,-2.93599259096402,-2.93599259096402,-2.93599259096402,-2.93599259096402,-2.93599259096402,-2.93599259096402,-2.93599259096402,-2.93599259096402,15.74397036385608,far,0.0,median,200545.64758050535
19,4.090000127080001,4.090000127080001,4.090000127080001,4.090000127080001,4.090000127080001,4.090000127080001,4.090000127080001,4.090000127080001,4.090000127080001,4.090000127080001,4.090000127080001,4.090000127080001,1.0,1.0,1.0,1.0,10.704074430993698,close,0.25,median,200545.647580505
20,-3.169713219612435,-3.169713219612435,-3.169713219612435,-3.169713219612435,-3.169713219612435,-3.169713219612435,-3.169713219612435,-3.169713219612435,-3.169713219612435,-3.169713219612435,-3.169713219612435,-3.169713219612435,1.0,1.0,1.0,1.0,14.444310298720682,far,0.25,median,200545.6475805046
21,4.450528845482236,4.450528845482236,4.450528845482236,4.450528845482236,4.450528845482236,4.450528845482236,4.450528845482236,4.450528845482236,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.75956938128111,close,0.5,median,200545.6475805047
22,-3.571287177727057,-3.571287177727057,-3.571287177727057,-3.571287177727057,-3.571287177727057,-3.571287177727057,-3.571287177727057,-3.571287177727057,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.929552648487666,far,0.5,median,200545.64758050477
23,5.1400882388945295,5.1400882388945295,5.1400882388945295,5.1400882388945295,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.280176477789059,close,0.75,median,200545.64758050526
24,-4.384574666138861,-4.384574666138861,-4.384574666138861,-4.384574666138861,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.769149332277722,far,0.75,median,200545.6475805047
25,4.140275116080554,4.140275116080554,4.140275116080554,4.140275116080554,4.140275116080554,4.140275116080554,4.140275116080554,4.140275116080554,4.140275116080554,4.140275116080554,4.140275116080554,4.140275116080554,4.140275116080554,4.140275116080554,4.140275116080554,4.140275116080554,12.561100464322216,close,0.0,upper quartile,253710.43768055894
26,-3.1398906545825396,-3.1398906545825396,-3.1398906545825396,-3.1398906545825396,-3.1398906545825396,-3.1398906545825396,-3.1398906545825396,-3.1398906545825396,-3.1398906545825396,-3.1398906545825396,-3.1398906545825396,-3.1398906545825396,-3.1398906545825396,-3.1398906545825396,-3.1398906545825396,-3.1398906545825396,16.55956261833016,far,0.0,upper quartile,253710.43768055894
27,4.305589485081918,4.305589485081918,4.305589485081918,4.305589485081918,4.305589485081918,4.305589485081918,4.305589485081918,4.305589485081918,4.305589485081918,4.305589485081918,4.305589485081918,4.305589485081918,1.0,1.0,1.0,1.0,11.45089787425465,close,0.25,upper quartile,253710.4376805596
28,-3.385704258395769,-3.385704258395769,-3.385704258395769,-3.385704258395769,-3.385704258395769,-3.385704258395769,-3.385704258395769,-3.385704258395769,-3.385704258395769,-3.385704258395769,-3.385704258395769,-3.385704258395769,1.0,1.0,1.0,1.0,15.192525205025312,far,0.25,upper quartile,253710.43768055923
29,4.689451892710183,4.689451892710183,4.689451892710183,4.689451892710183,4.689451892710183,4.689451892710183,4.689451892710183,4.689451892710183,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.435345808787652,close,0.5,upper quartile,253710.43768055888
30,-3.810680853651628,-3.810680853651628,-3.810680853651628,-3.810680853651628,-3.810680853651628,-3.810680853651628,-3.810680853651628,-3.810680853651628,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13.606660214965421,far,0.5,upper quartile,253710.43768055917
31,5.424612249187376,5.424612249187376,5.424612249187376,5.424612249187376,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.849224498374753,close,0.75,upper quartile,253710.43768055888
32,-4.66971042828416,-4.66971042828416,-4.66971042828416,-4.66971042828416,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11.33942085656832,far,0.75,upper quartile,253710.43768055955
