,gene_0,gene_1,gene_2,gene_3,gene_4,gene_5,gene_6,gene_7,euclidean distance,close/far,% optimal genes,quality,fitness
1,-0.20293003930593853,-0.20293003930593853,-0.20293003930593853,-0.20293003930593853,-0.20293003930593853,-0.20293003930593853,-0.20293003930593853,-0.20293003930593853,0.573972827598727,close,0.0,best,57.012909898160615
2,-2.118338646873577,-2.118338646873577,-2.118338646873577,-2.118338646873577,-2.118338646873577,-2.118338646873577,-2.118338646873577,-2.118338646873577,5.9915664882153665,far,0.0,best,57.01290989816004
3,-0.24114642041616696,-0.24114642041616696,-0.24114642041616696,-0.24114642041616696,-0.24114642041616696,-0.24114642041616696,0.0,0.0,0.590685683318281,close,0.25,best,57.012909898160686
4,-3.037473217955425,-3.037473217955425,-3.037473217955425,-3.037473217955425,-3.037473217955425,-3.037473217955425,0.0,0.0,7.440259491360426,far,0.25,best,57.012909898155186
5,-0.3181444033519443,-0.3181444033519443,-0.3181444033519443,-0.3181444033519443,0.0,0.0,0.0,0.0,0.6362888067038887,close,0.5,best,57.0129098981607
6,-3.1536242166333115,-3.1536242166333115,-3.1536242166333115,-3.1536242166333115,0.0,0.0,0.0,0.0,6.307248433266623,far,0.5,best,57.012909898026265
7,-3.3758767071674614,-3.3758767071674614,0.0,0.0,0.0,0.0,0.0,0.0,4.774210624175649,close,0.75,best,57.012909898097774
8,-5.1119672933988145,-5.1119672933988145,0.0,0.0,0.0,0.0,0.0,0.0,7.229413476732287,far,0.75,best,57.01290989816069
9,-0.40838445323003775,-0.40838445323003775,-0.40838445323003775,-0.40838445323003775,-0.40838445323003775,-0.40838445323003775,-0.40838445323003775,-0.40838445323003775,1.1550856648404806,close,0.0,lower quartile,148.44185972853978
10,-4.096304037043141,-4.096304037043141,-4.096304037043141,-4.096304037043141,-4.096304037043141,-4.096304037043141,-4.096304037043141,-4.096304037043141,11.586097449580143,far,0.0,lower quartile,148.44185972833392
11,-2.423502216876165,-2.423502216876165,-2.423502216876165,-2.423502216876165,-2.423502216876165,-2.423502216876165,0.0,0.0,5.93634382185046,close,0.25,lower quartile,148.44185972853236
12,-4.202787792774412,-4.202787792774412,-4.202787792774412,-4.202787792774412,-4.202787792774412,-4.202787792774412,0.0,0.0,10.294685589495277,far,0.25,lower quartile,148.4418597284839
13,4.3927520136109885,4.3927520136109885,4.3927520136109885,4.3927520136109885,0.0,0.0,0.0,0.0,8.785504027221977,close,0.5,lower quartile,148.44185972852796
14,-5.885729609536277,-5.885729609536277,-5.885729609536277,-5.885729609536277,0.0,0.0,0.0,0.0,11.771459219072554,far,0.5,lower quartile,148.4418597286412
15,-7.429227760303353,-7.429227760303353,0.0,0.0,0.0,0.0,0.0,0.0,10.506514656579695,close,0.75,lower quartile,148.44185972840256
16,8.200932895257406,8.200932895257406,0.0,0.0,0.0,0.0,0.0,0.0,11.597870524584676,far,0.75,lower quartile,148.44185972851992
17,-1.4462358824086725,-1.4462358824086725,-1.4462358824086725,-1.4462358824086725,-1.4462358824086725,-1.4462358824086725,-1.4462358824086725,-1.4462358824086725,4.090572798585931,close,0.0,median,172.2114073809318
