,gene_0,gene_1,gene_2,gene_3,euclidean distance,close/far,% optimal genes,quality,fitness
1,-0.1399770750546191,-0.1399770750546191,-0.1399770750546191,-0.1399770750546191,0.2799541501092382,close,0.0,best,14.576975559859065
2,-1.1127472185015865,-1.1127472185015865,-1.1127472185015865,-1.1127472185015865,2.225494437003173,far,0.0,best,14.576975559859061
3,-0.163565965152416,-0.163565965152416,-0.163565965152416,0.0,0.28330456203302495,close,0.25,best,14.57697555985905
4,-2.0567409684663067,-2.0567409684663067,-2.0567409684663067,0.0,3.562379855392061,far,0.25,best,14.57697555985893
5,0.20559844643176844,0.20559844643176844,0.0,0.0,0.2907601113466452,close,0.5,best,14.576975559859054
6,-2.1217634419080973,-2.1217634419080973,0.0,0.0,3.0006266356938496,far,0.5,best,14.576975559859026
7,0.323791781899839,0.0,0.0,0.0,0.323791781899839,close,0.75,best,14.576975559859072
8,-3.1591505278145036,0.0,0.0,0.0,3.1591505278145036,far,0.75,best,14.576975559857019
9,-0.3619705634840818,-0.3619705634840818,-0.3619705634840818,-0.3619705634840818,0.7239411269681636,close,0.0,lower quartile,66.40068807067482
10,-4.0384796460550865,-4.0384796460550865,-4.0384796460550865,-4.0384796460550865,8.076959292110173,far,0.0,lower quartile,66.4006880706691
11,-1.4821121873420047,-1.4821121873420047,-1.4821121873420047,0.0,2.5670936109933944,close,0.25,lower quartile,66.40068807067064
12,-4.163018823309507,-4.163018823309507,-4.163018823309507,0.0,7.210560114837668,far,0.25,lower quartile,66.40068807063983
13,-4.324301557301638,-4.324301557301638,0.0,0.0,6.115485910127072,close,0.5,lower quartile,66.40068807063342
14,-5.189207016206518,-5.189207016206518,0.0,0.0,7.338646940280879,far,0.5,lower quartile,66.40068807067524
15,-7.300276003659842,0.0,0.0,0.0,7.300276003659842,close,0.75,lower quartile,66.40068807067526
16,-8.077331704585099,0.0,0.0,0.0,8.077331704585099,far,0.75,lower quartile,66.40068807067533
17,-0.44389797148825066,-0.44389797148825066,-0.44389797148825066,-0.44389797148825066,0.8877959429765013,close,0.0,median,78.32869069995701
18,-4.1179877601573365,-4.1179877601573365,-4.1179877601573365,-4.1179877601573365,8.235975520314673,far,0.0,median,78.32869069996093
19,-2.4831087886666063,-2.4831087886666063,-2.4831087886666063,0.0,4.300870582691372,close,0.25,median,78.32869069992965
20,-5.053888799951593,-5.053888799951593,-5.053888799951593,0.0,8.75359217731946,far,0.25,median,78.3286906999608
21,-4.444917607069921,-4.444917607069921,0.0,0.0,6.286062763549245,close,0.5,median,78.32869069993131
22,6.100903375833252,6.100903375833252,0.0,0.0,8.627980296831185,far,0.5,median,78.32869069995667
23,-8.253355462507947,0.0,0.0,0.0,8.253355462507947,close,0.75,median,78.32869069942105
24,8.253355462507953,0.0,0.0,0.0,8.253355462507953,far,0.75,median,78.32869069942141
25,-1.4672704193072479,-1.4672704193072479,-1.4672704193072479,-1.4672704193072479,2.9345408386144958,close,0.0,upper quartile,87.76870080007677
26,-4.159915959807137,-4.159915959807137,-4.159915959807137,-4.159915959807137,8.319831919614273,far,0.0,upper quartile,87.76870080009604
27,3.3912650617161124,3.3912650617161124,3.3912650617161124,0.0,5.873843388825511,close,0.25,upper quartile,87.76870080006995
28,5.126124731382216,5.126124731382216,5.126124731382216,0.0,8.878708480689362,far,0.25,upper quartile,87.76870079997346
29,-5.340164524941164,-5.340164524941164,0.0,0.0,7.552133096475471,close,0.5,upper quartile,87.76870080009652
30,6.179273221721908,6.179273221721908,0.0,0.0,8.738811995768012,far,0.5,upper quartile,87.76870080007981
31,-8.3843044781088,0.0,0.0,0.0,8.3843044781088,close,0.75,upper quartile,87.76870079995837
32,9.148899368690376,0.0,0.0,0.0,9.148899368690376,far,0.75,upper quartile,87.76870079992419
33,6.474203576730022,6.474203576730022,6.474203576730022,6.474203576730022,12.948407153460044,close,0.0,worst,247.1369745260797
34,-7.239929376984337,-7.239929376984337,-7.239929376984337,-7.239929376984337,14.479858753968674,far,0.0,worst,247.1369745263737
35,-8.305245503090774,-8.305245503090774,-8.305245503090774,0.0,14.38510718068616,close,0.25,worst,247.13697452637376
36,-9.04965439176725,-9.04965439176725,-9.04965439176725,0.0,15.674461197479703,far,0.25,worst,247.13697452607136
37,-10.358048973600498,-10.358048973600498,0.0,0.0,14.648493338190542,close,0.5,worst,247.13697452633846
38,11.071461870600121,11.071461870600121,0.0,0.0,15.657411532699287,far,0.5,worst,247.136974525981
39,-15.299522096485772,0.0,0.0,0.0,15.299522096485772,close,0.75,worst,247.13697452637373
40,-15.299522096485772,0.0,0.0,0.0,15.299522096485772,far,0.75,worst,247.13697452637373
