,gene_0,gene_1,gene_2,gene_3,gene_4,gene_5,gene_6,gene_7,gene_8,gene_9,gene_10,gene_11,gene_12,gene_13,gene_14,gene_15,gene_16,gene_17,gene_18,gene_19,gene_20,gene_21,gene_22,gene_23,gene_24,gene_25,gene_26,gene_27,gene_28,gene_29,gene_30,gene_31,euclidean distance,close/far,% optimal genes,quality,fitness
1,-0.1962472433981596,-0.1962472433981596,-0.1962472433981596,-0.1962472433981596,-0.1962472433981596,-0.1962472433981596,-0.1962472433981596,-0.1962472433981596,-0.1962472433981596,-0.1962472433981596,-0.1962472433981596,-0.1962472433981596,-0.1962472433981596,-0.1962472433981596,-0.1962472433981596,-0.1962472433981596,-0.1962472433981596,-0.1962472433981596,-0.1962472433981596,-0.1962472433981596,-0.1962472433981596,-0.1962472433981596,-0.1962472433981596,-0.1962472433981596,-0.1962472433981596,-0.1962472433981596,-0.1962472433981596,-0.1962472433981596,-0.1962472433981596,-0.1962472433981596,-0.1962472433981596,-0.1962472433981596,1.1101420527680448,close,0.0,best,215.19906169087093
2,-2.1095022681343867,-2.1095022681343867,-2.1095022681343867,-2.1095022681343867,-2.1095022681343867,-2.1095022681343867,-2.1095022681343867,-2.1095022681343867,-2.1095022681343867,-2.1095022681343867,-2.1095022681343867,-2.1095022681343867,-2.1095022681343867,-2.1095022681343867,-2.1095022681343867,-2.1095022681343867,-2.1095022681343867,-2.1095022681343867,-2.1095022681343867,-2.1095022681343867,-2.1095022681343867,-2.1095022681343867,-2.1095022681343867,-2.1095022681343867,-2.1095022681343867,-2.1095022681343867,-2.1095022681343867,-2.1095022681343867,-2.1095022681343867,-2.1095022681343867,-2.1095022681343867,-2.1095022681343867,11.93314686980982,far,0.0,best,215.19906169087145
3,-0.2326575695908413,-0.2326575695908413,-0.2326575695908413,-0.2326575695908413,-0.2326575695908413,-0.2326575695908413,-0.2326575695908413,-0.2326575695908413,-0.2326575695908413,-0.2326575695908413,-0.2326575695908413,-0.2326575695908413,-0.2326575695908413,-0.2326575695908413,-0.2326575695908413,-0.2326575695908413,-0.2326575695908413,-0.2326575695908413,-0.2326575695908413,-0.2326575695908413,-0.2326575695908413,-0.2326575695908413,-0.2326575695908413,-0.2326575695908413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1397846605872584,close,0.25,best,215.19906169087128
4,-2.9926538338138147,-2.9926538338138147,-2.9926538338138147,-2.9926538338138147,-2.9926538338138147,-2.9926538338138147,-2.9926538338138147,-2.9926538338138147,-2.9926538338138147,-2.9926538338138147,-2.9926538338138147,-2.9926538338138147,-2.9926538338138147,-2.9926538338138147,-2.9926538338138147,-2.9926538338138147,-2.9926538338138147,-2.9926538338138147,-2.9926538338138147,-2.9926538338138147,-2.9926538338138147,-2.9926538338138147,-2.9926538338138147,-2.9926538338138147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.660949739255384,far,0.25,best,215.19906169087125
5,-0.3044902533162308,-0.3044902533162308,-0.3044902533162308,-0.3044902533162308,-0.3044902533162308,-0.3044902533162308,-0.3044902533162308,-0.3044902533162308,-0.3044902533162308,-0.3044902533162308,-0.3044902533162308,-0.3044902533162308,-0.3044902533162308,-0.3044902533162308,-0.3044902533162308,-0.3044902533162308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2179610132649235,close,0.5,best,215.1990616908713
6,3.1393514283922914,3.1393514283922914,3.1393514283922914,3.1393514283922914,3.1393514283922914,3.1393514283922914,3.1393514283922914,3.1393514283922914,3.1393514283922914,3.1393514283922914,3.1393514283922914,3.1393514283922914,3.1393514283922914,3.1393514283922914,3.1393514283922914,3.1393514283922914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.557405713569166,far,0.5,best,215.1990616907246
7,-3.3465392137842036,-3.3465392137842036,-3.3465392137842036,-3.3465392137842036,-3.3465392137842036,-3.3465392137842036,-3.3465392137842036,-3.3465392137842036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.46544228629403,close,0.75,best,215.19906169066343
8,-5.076395703179524,-5.076395703179524,-5.076395703179524,-5.076395703179524,-5.076395703179524,-5.076395703179524,-5.076395703179524,-5.076395703179524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.358215302817975,far,0.75,best,215.1990616908619
9,-0.3549881879662205,-0.3549881879662205,-0.3549881879662205,-0.3549881879662205,-0.3549881879662205,-0.3549881879662205,-0.3549881879662205,-0.3549881879662205,-0.3549881879662205,-0.3549881879662205,-0.3549881879662205,-0.3549881879662205,-0.3549881879662205,-0.3549881879662205,-0.3549881879662205,-0.3549881879662205,-0.3549881879662205,-0.3549881879662205,-0.3549881879662205,-0.3549881879662205,-0.3549881879662205,-0.3549881879662205,-0.3549881879662205,-0.3549881879662205,-0.3549881879662205,-0.3549881879662205,-0.3549881879662205,-0.3549881879662205,-0.3549881879662205,-0.3549881879662205,-0.3549881879662205,-0.3549881879662205,2.0081164396163143,close,0.0,lower quartile,520.1440224749738
10,-4.020946988180303,-4.020946988180303,-4.020946988180303,-4.020946988180303,-4.020946988180303,-4.020946988180303,-4.020946988180303,-4.020946988180303,-4.020946988180303,-4.020946988180303,-4.020946988180303,-4.020946988180303,-4.020946988180303,-4.020946988180303,-4.020946988180303,-4.020946988180303,-4.020946988180303,-4.020946988180303,-4.020946988180303,-4.020946988180303,-4.020946988180303,-4.020946988180303,-4.020946988180303,-4.020946988180303,-4.020946988180303,-4.020946988180303,-4.020946988180303,-4.020946988180303,-4.020946988180303,-4.020946988180303,-4.020946988180303,-4.020946988180303,22.74591105707134,far,0.0,lower quartile,520.1440224749116
